yearID,Rank,G,W,L,LgWin,WSWin,R,AB,H,BB,SB,ER,ERA,HA,E,DP,name,attendance,BPF,PPF
2006,5,162,62,100,N,N,757,5589,1515,474,65.0,896,5.65,1648,98,189.0,Kansas City Royals,1372638.0,101,103
2006,2,162,89,73,N,N,766,5609,1539,486,148.0,652,4.04,1410,124,154.0,Los Angeles Angels of Anaheim,3406790.0,100,100
2006,2,162,88,74,N,N,820,5628,1552,601,128.0,686,4.23,1524,115,174.0,Los Angeles Dodgers,3758545.0,101,100
2006,4,162,75,87,N,N,730,5433,1400,502,71.0,763,4.82,1454,117,126.0,Milwaukee Brewers,2335643.0,101,101
2006,1,162,96,66,N,N,801,5602,1608,490,101.0,632,3.95,1490,84,135.0,Minnesota Twins,2285018.0,98,98
2006,1,162,97,65,N,N,930,5651,1608,649,139.0,708,4.41,1463,104,145.0,New York Yankees,4248067.0,101,99
2006,1,162,97,65,N,N,834,5558,1469,547,146.0,673,4.14,1402,104,131.0,New York Mets,3379535.0,98,97
2006,1,162,93,69,N,N,771,5500,1429,650,61.0,679,4.21,1525,84,173.0,Oakland Athletics,1976625.0,97,97
2006,2,162,85,77,N,N,865,5687,1518,626,92.0,747,4.6,1561,104,153.0,Philadelphia Phillies,2701815.0,105,104
2006,5,162,67,95,N,N,691,5558,1462,459,68.0,720,4.52,1545,104,168.0,Pittsburgh Pirates,1861549.0,98,99
2006,1,162,88,74,N,N,731,5576,1465,564,123.0,629,3.87,1385,92,138.0,San Diego Padres,2659757.0,91,90
2006,4,162,78,84,N,N,756,5670,1540,404,106.0,739,4.6,1500,88,150.0,Seattle Mariners,2481165.0,97,97
2006,3,161,76,85,N,N,746,5472,1418,494,58.0,735,4.63,1422,91,132.0,San Francisco Giants,3130313.0,100,100
2006,1,161,83,78,Y,Y,781,5522,1484,531,59.0,721,4.54,1475,98,170.0,St. Louis Cardinals,3407104.0,99,99
2006,5,162,61,101,N,N,689,5474,1395,441,134.0,782,4.96,1600,116,156.0,Tampa Bay Devil Rays,1368950.0,99,101
2006,3,162,80,82,N,N,835,5659,1571,505,53.0,731,4.6,1558,98,174.0,Texas Rangers,2388757.0,101,101
2006,2,162,87,75,N,N,809,5596,1591,514,65.0,694,4.37,1447,99,157.0,Toronto Blue Jays,2302212.0,100,100
2006,5,162,71,91,N,N,746,5495,1437,594,123.0,803,5.03,1535,131,123.0,Washington Nationals,2153056.0,94,95
2007,1,162,90,72,N,N,712,5398,1350,532,109.0,662,4.13,1446,106,157.0,Arizona Diamondbacks,2325249.0,107,107
2007,3,162,84,78,N,N,810,5689,1562,534,64.0,665,4.11,1442,107,141.0,Atlanta Braves,2745207.0,98,98
2007,4,162,69,93,N,N,756,5631,1529,500,144.0,827,5.17,1491,79,155.0,Baltimore Orioles,2164822.0,101,102
2007,1,162,96,66,Y,Y,867,5589,1561,689,96.0,618,3.87,1350,81,145.0,Boston Red Sox,2970755.0,106,105
2007,4,162,72,90,N,N,693,5441,1341,532,78.0,763,4.77,1556,108,168.0,Chicago White Sox,2684395.0,104,104
2007,1,162,85,77,N,N,752,5643,1530,500,86.0,650,4.04,1340,94,134.0,Chicago Cubs,3252462.0,105,104
2007,5,162,72,90,N,N,783,5607,1496,536,97.0,796,4.94,1605,95,155.0,Cincinnati Reds,2058593.0,104,104
2007,1,162,96,66,N,N,811,5604,1504,590,72.0,658,4.05,1519,92,167.0,Cleveland Indians,2275912.0,101,100
2007,2,163,90,73,Y,N,860,5691,1591,622,100.0,706,4.32,1497,68,180.0,Colorado Rockies,2376250.0,107,108
2007,2,162,88,74,N,N,887,5757,1652,474,103.0,735,4.57,1498,99,148.0,Detroit Tigers,3047133.0,102,101
2007,5,162,71,91,N,N,790,5627,1504,521,105.0,793,4.94,1617,137,159.0,Florida Marlins,1370511.0,97,98
2007,4,162,73,89,N,N,723,5605,1457,547,65.0,761,4.68,1566,103,128.0,Houston Astros,3020405.0,100,100
2007,5,162,69,93,N,N,706,5534,1447,428,78.0,716,4.48,1547,106,160.0,Kansas City Royals,1616867.0,100,101
2007,1,162,94,68,N,N,822,5554,1578,507,139.0,674,4.23,1480,101,154.0,Los Angeles Angels of Anaheim,3365632.0,101,100
2007,4,162,82,80,N,N,735,5614,1544,511,137.0,677,4.2,1443,114,160.0,Los Angeles Dodgers,3857036.0,101,100
2007,2,162,83,79,N,N,801,5554,1455,501,96.0,708,4.41,1513,109,144.0,Milwaukee Brewers,2869144.0,100,100
2007,3,162,79,83,N,N,718,5522,1460,512,112.0,663,4.15,1505,95,151.0,Minnesota Twins,2296383.0,95,95
2007,2,162,94,68,N,N,968,5717,1656,637,123.0,724,4.49,1498,88,174.0,New York Yankees,4271083.0,101,100
2007,2,162,88,74,N,N,804,5605,1543,549,200.0,687,4.26,1415,101,124.0,New York Mets,3853955.0,98,97
2007,3,162,76,86,N,N,741,5577,1430,664,52.0,689,4.28,1468,90,153.0,Oakland Athletics,1921844.0,94,94
2007,1,162,89,73,N,N,892,5688,1558,641,138.0,767,4.73,1555,89,162.0,Philadelphia Phillies,3108325.0,104,103
2007,6,162,68,94,N,N,724,5569,1463,463,68.0,793,4.93,1627,83,190.0,Pittsburgh Pirates,1749142.0,97,98
2007,3,163,89,74,N,N,741,5612,1408,557,55.0,611,3.7,1406,92,147.0,San Diego Padres,2790074.0,90,90
2007,2,162,88,74,N,N,794,5684,1629,389,81.0,754,4.73,1578,90,167.0,Seattle Mariners,2672223.0,96,97
2007,5,162,71,91,N,N,683,5538,1407,532,119.0,677,4.19,1442,88,148.0,San Francisco Giants,3223215.0,101,101
2007,3,162,78,84,N,N,725,5529,1513,506,56.0,741,4.65,1514,121,155.0,St. Louis Cardinals,3552180.0,99,99
2007,5,162,66,96,N,N,782,5593,1500,545,131.0,879,5.53,1649,117,155.0,Tampa Bay Devil Rays,1387603.0,98,100
2007,4,162,75,87,N,N,816,5555,1460,503,88.0,755,4.75,1525,124,179.0,Texas Rangers,2353862.0,101,101
2007,3,162,83,79,N,N,753,5536,1434,533,57.0,644,4.0,1383,102,160.0,Toronto Blue Jays,2360644.0,100,99
2007,4,162,73,89,N,N,673,5520,1415,524,69.0,736,4.58,1502,109,153.0,Washington Nationals,1943812.0,94,95
2008,2,162,82,80,N,N,720,5409,1355,587,58.0,635,3.98,1403,113,137.0,Arizona Diamondbacks,2509924.0,108,108
2008,4,162,72,90,N,N,753,5604,1514,618,58.0,714,4.46,1439,107,149.0,Atlanta Braves,2532834.0,98,98
2008,5,161,68,93,N,N,782,5559,1486,533,81.0,810,5.13,1538,100,163.0,Baltimore Orioles,1950075.0,101,102
2008,2,162,95,67,N,N,845,5596,1565,646,120.0,645,4.01,1369,85,149.0,Boston Red Sox,3048250.0,108,106
2008,1,163,89,74,N,N,811,5553,1458,540,67.0,658,4.06,1471,108,155.0,Chicago White Sox,2500648.0,105,105
